ts_code,symbol,name,enname,aliases
0050.TW,0050.TW,元大台湾50,,元大台灣50|台灣50|台湾50
0051.TW,0051.TW,元大中型100,,
0052.TW,0052.TW,富邦科技,,
0053.TW,0053.TW,元大电子,,元大電子
0055.TW,0055.TW,元大MSCI金融,,
0056.TW,0056.TW,元大高股息,,
0057.TW,0057.TW,富邦摩台,,
0061.TW,0061.TW,元大宝沪深,,元大寶滬深
1101.TW,1101.TW,台泥,,
1102.TW,1102.TW,亚泥,,亞泥
1103.TW,1103.TW,嘉泥,,
1104.TW,1104.TW,环泥,,環泥
1108.TW,1108.TW,幸福,,
1109.TW,1109.TW,信大,,
1110.TW,1110.TW,东泥,,東泥
1201.TW,1201.TW,味全,,
1203.TW,1203.TW,味王,,
1210.TW,1210.TW,大成,,
1213.TW,1213.TW,大饮,,大飲
1215.TW,1215.TW,卜蜂,,
1216.TW,1216.TW,统一,,統一
1217.TW,1217.TW,爱之味,,愛之味
1218.TW,1218.TW,泰山,,
1219.TW,1219.TW,福寿,,福壽
1220.TW,1220.TW,台荣,,台榮
1225.TW,1225.TW,福懋油,,
1227.TW,1227.TW,佳格,,
1229.TW,1229.TW,联华,,聯華
1231.TW,1231.TW,联华食,,聯華食
1232.TW,1232.TW,大统益,,大統益
1233.TW,1233.TW,天仁,,
1234.TW,1234.TW,黑松,,
1235.TW,1235.TW,兴泰,,興泰
1236.TW,1236.TW,宏亚,,宏亞
1240.TWO,1240.TWO,茂生农经,,茂生農經
1256.TW,1256.TW,鲜活果汁-KY,,鮮活果汁-KY
1259.TWO,1259.TWO,安心,,
1264.TWO,1264.TWO,德麦,,德麥
1268.TWO,1268.TWO,汉来美食,,漢來美食
1294.TWO,1294.TWO,汉田生技,,漢田生技
1295.TWO,1295.TWO,生合,,
1301.TW,1301.TW,台塑,,
1303.TW,1303.TW,南亚,,南亞
1304.TW,1304.TW,台聚,,
1305.TW,1305.TW,华夏,,華夏
1307.TW,1307.TW,三芳,,
1308.TW,1308.TW,亚聚,,亞聚
1309.TW,1309.TW,台达化,,台達化
1310.TW,1310.TW,台苯,,
1312.TW,1312.TW,国乔,,國喬
1313.TW,1313.TW,联成,,聯成
1314.TW,1314.TW,中石化,,
1315.TW,1315.TW,达新,,達新
1316.TW,1316.TW,上曜,,
1319.TW,1319.TW,东阳,,東陽
1321.TW,1321.TW,大洋,,
1323.TW,1323.TW,永裕,,
1324.TW,1324.TW,地球,,
1325.TW,1325.TW,恒大,,恆大
1326.TW,1326.TW,台化,,
1336.TWO,1336.TWO,台翰,,
1337.TW,1337.TW,再生-KY,,
1338.TW,1338.TW,广华-KY,,廣華-KY
1339.TW,1339.TW,昭辉,,昭輝
1340.TW,1340.TW,胜悦-KY,,勝悅-KY
1341.TW,1341.TW,富林-KY,,
1342.TW,1342.TW,八贯,,八貫
1402.TW,1402.TW,远东新,,遠東新
1409.TW,1409.TW,新纤,,新纖
1410.TW,1410.TW,南染,,
1413.TW,1413.TW,宏洲,,
1414.TW,1414.TW,东和,,東和
1416.TW,1416.TW,广丰,,廣豐
1417.TW,1417.TW,嘉裕,,
1418.TW,1418.TW,东华,,東華
1419.TW,1419.TW,新纺,,新紡
1423.TW,1423.TW,利华,,利華
1432.TW,1432.TW,大鲁阁,,大魯閣
1434.TW,1434.TW,福懋,,
1435.TW,1435.TW,中福,,
1436.TW,1436.TW,华友联,,華友聯
1437.TW,1437.TW,勤益控,,
1438.TW,1438.TW,三地开发,,三地開發
1439.TW,1439.TW,隽扬,,雋揚
1440.TW,1440.TW,南纺,,南紡
1441.TW,1441.TW,大东,,大東
1442.TW,1442.TW,名轩,,名軒
1443.TW,1443.TW,立益物流,,
1444.TW,1444.TW,力丽,,力麗
1445.TW,1445.TW,大宇,,
1446.TW,1446.TW,宏和,,
1447.TW,1447.TW,力鹏,,力鵬
1449.TW,1449.TW,佳和,,
1451.TW,1451.TW,年兴,,年興
1452.TW,1452.TW,宏益,,
1453.TW,1453.TW,大将,,大將
1454.TW,1454.TW,台富,,
1455.TW,1455.TW,集盛,,
1456.TW,1456.TW,怡华,,怡華
1457.TW,1457.TW,宜进,,宜進
1459.TW,1459.TW,联发,,聯發
1460.TW,1460.TW,宏远,,宏遠
1463.TW,1463.TW,强盛新,,強盛新
1464.TW,1464.TW,得力,,
1465.TW,1465.TW,伟全,,偉全
1466.TW,1466.TW,聚隆,,
1467.TW,1467.TW,南纬,,南緯
1468.TW,1468.TW,昶和,,
1470.TW,1470.TW,大统新创,,大統新創
1471.TW,1471.TW,首利,,
1472.TW,1472.TW,三洋实业,,三洋實業
1473.TW,1473.TW,台南,,
1474.TW,1474.TW,弘裕,,
1475.TW,1475.TW,业旺,,業旺
1476.TW,1476.TW,儒鸿,,儒鴻
1477.TW,1477.TW,聚阳,,聚陽
